fbus	tbus   is_open is_cb
2       4      0       1
6       8      0       1       
9      10      0       1  
11     13      0       1 
12     14      0       1  
16     17      0       1  
21     22      0       1  
23     24      0       1  
1       2      0       0  
2       3      0       0  
4       5      0       0  
1       6      0       0  
6       7      0       0  
7       8      0       0  
1       9      0       0 
10      3      0       0  
1      11      0       0  
3      12      0       0  
13     15      0       0  
14     18      0       0  
15     16      0       0  
17     18      0       0  
15     19      0       0  
20     21      0       0  
22     23      0       0  
23     18      0       0  
24     25      0       1  
